date,unit_id,active,listing_start_date,start_date_source,out_of_window,property_revenue,property_room_nights,bookings,property_revpar,month_day,listing_revpar_doy_avg,contributing_year_count,data_years_contributing,insufficient_data,tier_id,tier_label
2024-01-01,Chisum,True,2024-01-01,config,False,0.0,0.0,0.0,0.0,01-01,260.5175,2,"2024,2025",False,1,Soft
2024-01-02,Chisum,True,2024-01-01,config,False,0.0,0.0,0.0,0.0,01-02,230.7675,2,"2024,2025",False,1,Soft
2024-01-03,Chisum,True,2024-01-01,config,False,0.0,0.0,0.0,0.0,01-03,230.7675,2,"2024,2025",False,1,Soft
2024-01-04,Chisum,True,2024-01-01,config,False,0.0,0.0,0.0,0.0,01-04,172.2675,2,"2024,2025",False,1,Soft
2024-01-05,Chisum,True,2024-01-01,config,False,0.0,0.0,0.0,0.0,01-05,172.2675,2,"2024,2025",False,1,Soft
2024-01-06,Chisum,True,2024-01-01,config,False,275.22,1.0,1.0,275.22,01-06,137.61,2,"2024,2025",False,1,Soft
2024-01-07,Chisum,True,2024-01-01,config,False,0.0,0.0,0.0,0.0,01-07,0.0,2,"2024,2025",False,1,Soft
2024-01-08,Chisum,True,2024-01-01,config,False,0.0,0.0,0.0,0.0,01-08,0.0,2,"2024,2025",False,1,Soft
2024-01-09,Chisum,True,2024-01-01,config,False,0.0,0.0,0.0,0.0,01-09,0.0,2,"2024,2025",False,1,Soft
2024-01-10,Chisum,True,2024-01-01,config,False,0.0,0.0,0.0,0.0,01-10,177.2675,2,"2024,2025",False,1,Soft
2024-01-11,Chisum,True,2024-01-01,config,False,0.0,0.0,0.0,0.0,01-11,177.2675,2,"2024,2025",False,1,Soft
2024-01-12,Chisum,True,2024-01-01,config,False,0.0,0.0,0.0,0.0,01-12,115.045,2,"2024,2025",False,1,Soft
2024-01-13,Chisum,True,2024-01-01,config,False,0.0,0.0,0.0,0.0,01-13,115.045,2,"2024,2025",False,1,Soft
2024-01-14,Chisum,True,2024-01-01,config,False,0.0,0.0,0.0,0.0,01-14,122.2675,2,"2024,2025",False,1,Soft
2024-01-15,Chisum,True,2024-01-01,config,False,0.0,0.0,0.0,0.0,01-15,122.2675,2,"2024,2025",False,1,Soft
2024-01-16,Chisum,True,2024-01-01,config,False,0.0,0.0,0.0,0.0,01-16,230.7675,2,"2024,2025",False,1,Soft
2024-01-17,Chisum,True,2024-01-01,config,False,0.0,0.0,0.0,0.0,01-17,230.7675,2,"2024,2025",False,1,Soft
2024-01-18,Chisum,True,2024-01-01,config,False,0.0,0.0,0.0,0.0,01-18,0.0,2,"2024,2025",False,1,Soft
2024-01-19,Chisum,True,2024-01-01,config,False,0.0,0.0,0.0,0.0,01-19,0.0,2,"2024,2025",False,1,Soft
2024-01-20,Chisum,True,2024-01-01,config,False,0.0,0.0,0.0,0.0,01-20,0.0,2,"2024,2025",False,1,Soft
2024-01-21,Chisum,True,2024-01-01,config,False,0.0,0.0,0.0,0.0,01-21,0.0,2,"2024,2025",False,1,Soft
2024-01-22,Chisum,True,2024-01-01,config,False,0.0,0.0,0.0,0.0,01-22,0.0,2,"2024,2025",False,1,Soft
2024-01-23,Chisum,True,2024-01-01,config,False,0.0,0.0,0.0,0.0,01-23,0.0,2,"2024,2025",False,1,Soft
