unit_id,season,season_order,season_revenue,season_room_nights,season_bookings,season_adr,season_revpar,season_days,season_score_1_10,season_percentile
Chisum,Soft,1,19573.8,53.0,25.0,369.32,133.16,147,5.5,50.0
Kingfisher,Soft,1,22112.131666666668,60.0,25.0,368.54,150.42,147,10.0,100.0
Shaka,Soft,1,18538.02,53.0,27.0,349.77,126.11,147,1.0,0.0
Chisum,Low,2,37204.28666666667,79.0,42.0,470.94,254.82,146,5.5,50.0
Kingfisher,Low,2,38607.01833333333,80.0,41.0,482.59,264.43,146,10.0,100.0
Shaka,Low,2,35978.35166666667,76.0,39.0,473.4,246.43,146,1.0,0.0
Chisum,Shoulder Low,3,50225.29416666667,98.0,47.0,512.5,344.01,146,10.0,100.0
Kingfisher,Shoulder Low,3,45456.762833333334,96.0,46.0,473.51,311.35,146,5.5,50.0
Shaka,Shoulder Low,3,43329.13916666667,83.0,37.0,522.04,296.77,146,1.0,0.0
Chisum,Shoulder High,4,55306.00916666667,108.0,55.0,512.09,378.81,146,1.0,0.0
Kingfisher,Shoulder High,4,59254.81716666667,113.0,56.0,524.38,405.85,146,5.5,50.0
Shaka,Shoulder High,4,60537.604166666664,118.0,53.0,513.03,414.64,146,10.0,100.0
Chisum,High,5,65352.07,125.0,54.0,522.82,447.62,146,10.0,100.0
Kingfisher,High,5,65117.01,124.0,61.0,525.14,446.01,146,5.5,50.0
Shaka,High,5,64465.595,123.0,61.0,524.11,441.55,146,1.0,0.0
