year_month,revenue,room_nights,adr,bookings,occupancy_pct,revpar
2024-01,3211.94,14,229.42,7,15.05,34.54
2024-02,2864.33,9,318.26,5,10.34,32.92
2024-03,5016.530000000001,15,334.44,7,16.13,53.94
2024-04,26384.14,60,439.74,28,66.67,293.16
2024-05,26154.260000000002,68,384.62,35,73.12,281.23
2024-06,32084.15,76,422.16,36,84.44,356.49
2024-07,37992.46,79,480.92,36,84.95,408.52
2024-08,31316.18,65,481.79,31,69.89,336.73
2024-09,32344.25,70,462.06,35,77.78,359.38
2024-10,27229.05,50,544.58,25,53.76,292.79
2024-11,35356.07,67,527.7,33,74.44,392.85
2024-12,25196.98,40,629.92,19,43.01,270.94
2025-01,15989.820000000002,48,333.12,24,51.61,171.93
2025-02,22401.72,63,355.58,29,75.0,266.69
2025-03,34725.54,72,482.3,36,77.42,373.39
2025-04,35208.47,63,558.86,31,70.0,391.21
2025-05,36534.91,66,553.56,31,70.97,392.85
2025-06,47782.340000000004,82,582.71,41,91.11,530.91
2025-07,45605.74,75,608.08,37,80.65,490.38
2025-08,40372.27,68,593.71,28,73.12,434.11
2025-09,26166.57,57,459.06,25,63.33,290.74
2025-10,36967.840000000004,71,520.67,33,76.34,397.5
2025-11,31250.47,61,512.3,28,67.78,347.23
2025-12,23498.88,51,460.76,29,54.84,252.68
