month_index,month_name,avg_basis_year_count,revenue,room_nights,adr,bookings,occupancy_pct,revpar,performance_score_1_10,performance_rank_provisional,rank_filter_min_arrival,rank_filter_max_arrival
1,January,2,9600.88,31.0,309.71,15.5,33.33,103.24,1,False,,
2,February,2,12633.03,36.0,350.92,17.0,42.11,147.75,2,False,,
3,March,2,19871.04,43.5,456.81,21.5,46.77,213.67,3,False,,
4,April,2,30796.3,61.5,500.75,29.5,68.33,342.18,6,False,,
5,May,2,31344.59,67.0,467.83,33.0,72.04,337.04,6,False,,
6,June,2,39933.25,79.0,505.48,38.5,87.78,443.7,9,False,,
7,July,2,41799.1,77.0,542.85,36.5,82.8,449.45,10,False,,
8,August,2,35844.22,66.5,539.01,29.5,71.51,385.42,8,False,,
9,September,2,29255.41,63.5,460.72,30.0,70.56,325.06,4,False,,
10,October,2,32098.44,60.5,530.55,29.0,65.05,345.14,7,False,,
11,November,2,33303.27,64.0,520.36,30.5,71.11,370.04,8,False,,
12,December,2,24347.93,45.5,535.12,24.0,48.92,261.81,3,False,,
