tier_id,tier_label,start_date,end_date,length_days
1,Soft,2024-01-01,2024-03-07,67
2,Low,2024-03-08,2024-03-08,1
1,Soft,2024-03-09,2024-03-09,1
2,Low,2024-03-10,2024-03-27,18
1,Soft,2024-03-28,2024-03-29,2
2,Low,2024-03-30,2024-04-06,8
3,Shoulder Low,2024-04-07,2024-04-09,3
2,Low,2024-04-10,2024-04-10,1
3,Shoulder Low,2024-04-11,2024-04-15,5
4,Shoulder High,2024-04-16,2024-04-16,1
3,Shoulder Low,2024-04-17,2024-04-17,1
4,Shoulder High,2024-04-18,2024-04-18,1
3,Shoulder Low,2024-04-19,2024-04-21,3
4,Shoulder High,2024-04-22,2024-04-23,2
5,High,2024-04-24,2024-04-24,1
4,Shoulder High,2024-04-25,2024-04-27,3
3,Shoulder Low,2024-04-28,2024-04-30,3
4,Shoulder High,2024-05-01,2024-05-01,1
3,Shoulder Low,2024-05-02,2024-05-04,3
2,Low,2024-05-05,2024-05-10,6
3,Shoulder Low,2024-05-11,2024-05-11,1
2,Low,2024-05-12,2024-05-17,6
3,Shoulder Low,2024-05-18,2024-05-19,2
4,Shoulder High,2024-05-20,2024-05-30,11
5,High,2024-05-31,2024-06-01,2
4,Shoulder High,2024-06-02,2024-06-07,6
5,High,2024-06-08,2024-07-07,30
4,Shoulder High,2024-07-08,2024-07-09,2
5,High,2024-07-10,2024-08-03,25
4,Shoulder High,2024-08-04,2024-08-07,4
3,Shoulder Low,2024-08-08,2024-08-18,11
4,Shoulder High,2024-08-19,2024-08-21,3
5,High,2024-08-22,2024-08-26,5
4,Shoulder High,2024-08-27,2024-09-01,6
3,Shoulder Low,2024-09-02,2024-09-06,5
2,Low,2024-09-07,2024-09-12,6
3,Shoulder Low,2024-09-13,2024-09-16,4
4,Shoulder High,2024-09-17,2024-09-24,8
5,High,2024-09-25,2024-09-25,1
4,Shoulder High,2024-09-26,2024-09-28,3
3,Shoulder Low,2024-09-29,2024-10-10,12
4,Shoulder High,2024-10-11,2024-10-17,7
5,High,2024-10-18,2024-10-23,6
4,Shoulder High,2024-10-24,2024-10-25,2
3,Shoulder Low,2024-10-26,2024-11-02,8
4,Shoulder High,2024-11-03,2024-11-08,6
5,High,2024-11-09,2024-11-11,3
4,Shoulder High,2024-11-12,2024-11-16,5
3,Shoulder Low,2024-11-17,2024-11-18,2
4,Shoulder High,2024-11-19,2024-11-20,2
3,Shoulder Low,2024-11-21,2024-11-26,6
2,Low,2024-11-27,2024-12-09,13
3,Shoulder Low,2024-12-10,2024-12-13,4
2,Low,2024-12-14,2024-12-19,6
1,Soft,2024-12-20,2024-12-24,5
2,Low,2024-12-25,2024-12-28,4
1,Soft,2024-12-29,2024-12-30,2
2,Low,2024-12-31,2025-01-03,4
1,Soft,2025-01-04,2025-03-05,61
2,Low,2025-03-06,2025-03-08,3
1,Soft,2025-03-09,2025-03-09,1
2,Low,2025-03-10,2025-03-27,18
1,Soft,2025-03-28,2025-03-29,2
2,Low,2025-03-30,2025-04-06,8
3,Shoulder Low,2025-04-07,2025-04-09,3
2,Low,2025-04-10,2025-04-10,1
3,Shoulder Low,2025-04-11,2025-04-15,5
4,Shoulder High,2025-04-16,2025-04-16,1
3,Shoulder Low,2025-04-17,2025-04-17,1
4,Shoulder High,2025-04-18,2025-04-18,1
3,Shoulder Low,2025-04-19,2025-04-21,3
4,Shoulder High,2025-04-22,2025-04-23,2
5,High,2025-04-24,2025-04-24,1
4,Shoulder High,2025-04-25,2025-04-27,3
3,Shoulder Low,2025-04-28,2025-04-30,3
4,Shoulder High,2025-05-01,2025-05-01,1
3,Shoulder Low,2025-05-02,2025-05-04,3
2,Low,2025-05-05,2025-05-10,6
3,Shoulder Low,2025-05-11,2025-05-11,1
2,Low,2025-05-12,2025-05-17,6
3,Shoulder Low,2025-05-18,2025-05-19,2
4,Shoulder High,2025-05-20,2025-05-30,11
5,High,2025-05-31,2025-06-01,2
4,Shoulder High,2025-06-02,2025-06-07,6
5,High,2025-06-08,2025-07-07,30
4,Shoulder High,2025-07-08,2025-07-09,2
5,High,2025-07-10,2025-08-03,25
4,Shoulder High,2025-08-04,2025-08-07,4
3,Shoulder Low,2025-08-08,2025-08-18,11
4,Shoulder High,2025-08-19,2025-08-21,3
5,High,2025-08-22,2025-08-26,5
4,Shoulder High,2025-08-27,2025-09-01,6
3,Shoulder Low,2025-09-02,2025-09-06,5
2,Low,2025-09-07,2025-09-12,6
3,Shoulder Low,2025-09-13,2025-09-16,4
4,Shoulder High,2025-09-17,2025-09-24,8
5,High,2025-09-25,2025-09-25,1
4,Shoulder High,2025-09-26,2025-09-28,3
3,Shoulder Low,2025-09-29,2025-10-10,12
4,Shoulder High,2025-10-11,2025-10-17,7
5,High,2025-10-18,2025-10-23,6
4,Shoulder High,2025-10-24,2025-10-25,2
3,Shoulder Low,2025-10-26,2025-11-02,8
4,Shoulder High,2025-11-03,2025-11-08,6
5,High,2025-11-09,2025-11-11,3
4,Shoulder High,2025-11-12,2025-11-16,5
3,Shoulder Low,2025-11-17,2025-11-18,2
4,Shoulder High,2025-11-19,2025-11-20,2
3,Shoulder Low,2025-11-21,2025-11-26,6
2,Low,2025-11-27,2025-12-09,13
3,Shoulder Low,2025-12-10,2025-12-13,4
2,Low,2025-12-14,2025-12-19,6
1,Soft,2025-12-20,2025-12-24,5
2,Low,2025-12-25,2025-12-28,4
1,Soft,2025-12-29,2025-12-29,1
2,Low,2025-12-30,2025-12-31,2
