tier_id,tier_label,lead_band,adr,revenue,revenue_share_of_tier,booking_count,room_nights,room_night_share_of_tier,occupancy_pct_of_tier_capacity,tier_occupancy_pct
1,Soft,0-7 days,303.07,13032.21,23.65,23,43,27.74,9.75,35.15
1,Soft,8-14 days,360.07,9361.91,16.99,12,26,16.77,5.9,35.15
1,Soft,15-30 days,354.79,12062.9,21.89,18,34,21.94,7.71,35.15
1,Soft,31-45 days,316.84,6336.73,11.5,9,20,12.9,4.54,35.15
1,Soft,46-60 days,436.99,8302.74,15.07,9,19,12.26,4.31,35.15
1,Soft,61-75 days,604.54,2418.14,4.39,2,4,2.58,0.91,35.15
1,Soft,76-90 days,354.54,709.07,1.29,1,2,1.29,0.45,35.15
1,Soft,91-120 days,344.54,689.07,1.25,1,2,1.29,0.45,35.15
1,Soft,121-180 days,437.43,2187.14,3.97,2,5,3.23,1.13,35.15
2,Low,0-7 days,385.02,21561.01,18.37,34,56,22.67,12.79,56.39
2,Low,8-14 days,538.29,12380.65,10.55,11,23,9.31,5.25,56.39
2,Low,15-30 days,533.06,18124.18,15.44,18,34,13.77,7.76,56.39
2,Low,31-45 days,534.71,16576.04,14.12,16,31,12.55,7.08,56.39
2,Low,46-60 days,429.31,14167.24,12.07,16,33,13.36,7.53,56.39
2,Low,61-75 days,468.66,5155.28,4.39,4,11,4.45,2.51,56.39
2,Low,76-90 days,448.52,9418.89,8.03,8,21,8.5,4.79,56.39
2,Low,91-120 days,540.29,10265.56,8.75,8,19,7.69,4.34,56.39
2,Low,121-180 days,543.94,7071.28,6.02,4,13,5.26,2.97,56.39
2,Low,181-270 days,440.96,2645.76,2.25,3,6,2.43,1.37,56.39
3,Shoulder Low,0-7 days,415.79,28689.44,21.75,40,69,25.37,15.75,62.1
3,Shoulder Low,8-14 days,423.34,10583.44,8.02,12,25,9.19,5.71,62.1
3,Shoulder Low,15-30 days,522.77,18296.88,13.87,14,35,12.87,7.99,62.1
3,Shoulder Low,31-45 days,555.35,13883.84,10.53,13,25,9.19,5.71,62.1
3,Shoulder Low,46-60 days,526.25,15261.19,11.57,13,29,10.66,6.62,62.1
3,Shoulder Low,61-75 days,476.55,12866.87,9.76,12,27,9.93,6.16,62.1
3,Shoulder Low,76-90 days,525.91,14199.67,10.77,11,27,9.93,6.16,62.1
3,Shoulder Low,91-120 days,477.36,5728.35,4.34,5,12,4.41,2.74,62.1
3,Shoulder Low,121-180 days,542.79,9227.49,7.0,7,17,6.25,3.88,62.1
3,Shoulder Low,181-270 days,526.54,3159.21,2.4,3,6,2.21,1.37,62.1
4,Shoulder High,0-7 days,487.15,22408.76,12.04,35,46,13.37,10.5,78.54
4,Shoulder High,8-14 days,549.74,24738.3,13.29,23,45,13.08,10.27,78.54
4,Shoulder High,15-30 days,548.24,21381.43,11.49,19,39,11.34,8.9,78.54
4,Shoulder High,31-45 days,585.15,29257.34,15.72,21,50,14.53,11.42,78.54
4,Shoulder High,46-60 days,594.52,14863.1,7.98,11,25,7.27,5.71,78.54
4,Shoulder High,61-75 days,437.77,14884.05,8.0,15,34,9.88,7.76,78.54
4,Shoulder High,76-90 days,695.87,4175.21,2.24,3,6,1.74,1.37,78.54
4,Shoulder High,91-120 days,562.39,33743.35,18.13,23,60,17.44,13.7,78.54
4,Shoulder High,121-180 days,445.03,12460.96,6.69,10,28,8.14,6.39,78.54
4,Shoulder High,181-270 days,749.84,8248.28,4.43,4,11,3.2,2.51,78.54
5,High,0-7 days,405.44,36489.56,19.09,57,90,24.19,20.55,84.93
5,High,8-14 days,651.09,14975.14,7.83,12,23,6.18,5.25,84.93
5,High,15-30 days,596.72,20885.09,10.93,17,35,9.41,7.99,84.93
5,High,31-45 days,517.41,13452.7,7.04,10,26,6.99,5.94,84.93
5,High,46-60 days,704.86,21145.74,11.06,12,30,8.06,6.85,84.93
5,High,61-75 days,507.72,14216.21,7.44,12,28,7.53,6.39,84.93
5,High,76-90 days,500.19,29010.78,15.18,24,58,15.59,13.24,84.93
5,High,91-120 days,501.15,29066.73,15.21,23,58,15.59,13.24,84.93
5,High,121-180 days,507.93,5587.28,2.92,4,11,2.96,2.51,84.93
5,High,181-270 days,462.46,4624.65,2.42,4,10,2.69,2.28,84.93
5,High,271-365 days,559.36,1678.07,0.88,1,3,0.81,0.68,84.93
