unit_id,month_index,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Chisum,1,287.0,287.0,287.0,311.0,382.0,382.0,311.0
Chisum,2,312.0,312.0,312.0,336.0,406.0,406.0,336.0
Chisum,3,336.0,336.0,336.0,360.0,431.0,431.0,360.0
Chisum,4,410.0,410.0,410.0,434.0,505.0,505.0,434.0
Chisum,5,410.0,410.0,410.0,434.0,505.0,505.0,434.0
Chisum,6,484.0,484.0,484.0,508.0,579.0,579.0,508.0
Chisum,7,509.0,509.0,509.0,532.0,603.0,603.0,532.0
Chisum,8,459.0,459.0,459.0,483.0,554.0,554.0,483.0
Chisum,9,361.0,361.0,361.0,385.0,456.0,456.0,385.0
Chisum,10,435.0,435.0,435.0,458.0,529.0,529.0,458.0
Chisum,11,459.0,459.0,459.0,483.0,554.0,554.0,483.0
Chisum,12,336.0,336.0,336.0,360.0,431.0,431.0,360.0
Kingfisher,1,287.0,287.0,287.0,311.0,382.0,382.0,311.0
Kingfisher,2,312.0,312.0,312.0,336.0,406.0,406.0,336.0
Kingfisher,3,336.0,336.0,336.0,360.0,431.0,431.0,360.0
Kingfisher,4,410.0,410.0,410.0,434.0,505.0,505.0,434.0
Kingfisher,5,410.0,410.0,410.0,434.0,505.0,505.0,434.0
Kingfisher,6,484.0,484.0,484.0,508.0,579.0,579.0,508.0
Kingfisher,7,509.0,509.0,509.0,532.0,603.0,603.0,532.0
Kingfisher,8,459.0,459.0,459.0,483.0,554.0,554.0,483.0
Kingfisher,9,361.0,361.0,361.0,385.0,456.0,456.0,385.0
Kingfisher,10,435.0,435.0,435.0,458.0,529.0,529.0,458.0
Kingfisher,11,459.0,459.0,459.0,483.0,554.0,554.0,483.0
Kingfisher,12,336.0,336.0,336.0,360.0,431.0,431.0,360.0
Shaka,1,287.0,287.0,287.0,311.0,382.0,382.0,311.0
Shaka,2,312.0,312.0,312.0,336.0,406.0,406.0,336.0
Shaka,3,336.0,336.0,336.0,360.0,431.0,431.0,360.0
Shaka,4,410.0,410.0,410.0,434.0,505.0,505.0,434.0
Shaka,5,410.0,410.0,410.0,434.0,505.0,505.0,434.0
Shaka,6,484.0,484.0,484.0,508.0,579.0,579.0,508.0
Shaka,7,509.0,509.0,509.0,532.0,603.0,603.0,532.0
Shaka,8,459.0,459.0,459.0,483.0,554.0,554.0,483.0
Shaka,9,361.0,361.0,361.0,385.0,456.0,456.0,385.0
Shaka,10,435.0,435.0,435.0,458.0,529.0,529.0,458.0
Shaka,11,459.0,459.0,459.0,483.0,554.0,554.0,483.0
Shaka,12,336.0,336.0,336.0,360.0,431.0,431.0,360.0
