unit_id,year_month,bookings,room_nights,revenue,adr,min_adr,max_adr
Greenhouse,2024-08,1,2,530.0,265.0,265.0,265.0
Spyglass (Pet Friendly),2024-09,40,75,27922.0,372.29,85.0,807.5
Greenhouse,2024-09,42,80,31243.0,390.54,264.0,713.0
Spyglass,2024-09,28,50,19623.0,392.46,222.0,669.0
Spyglass (Accessible),2024-09,4,8,3864.0,483.0,277.0,711.5
Greenhouse (Pet Friendly),2024-09,32,64,23461.0,366.58,85.0,773.0
Greenhouse (Accessible),2024-09,4,7,2802.0,400.29,276.0,442.0
Spyglass (Pet Friendly),2024-10,65,116,53499.0,461.2,242.5,1033.3333333333333
Spyglass,2024-10,64,111,49272.0,443.89,244.0,757.0
Greenhouse,2024-10,54,108,48540.0,449.44,244.0,757.0
Greenhouse (Pet Friendly),2024-10,30,58,25348.0,437.03,243.5,762.0
Spyglass (Accessible),2024-10,12,20,8244.0,412.2,243.0,717.0
Greenhouse (Accessible),2024-10,8,13,4967.0,382.08,321.0,502.0
Greenhouse,2024-11,93,153,69053.0,451.33,202.0,791.5
Spyglass (Pet Friendly),2024-11,72,126,60026.0,476.4,231.0,899.5
Greenhouse (Pet Friendly),2024-11,48,82,36940.0,450.49,204.0,832.0
Spyglass,2024-11,59,114,52421.0,459.83,242.5,779.5
Spyglass (Accessible),2024-11,12,18,9053.0,502.94,244.0,757.0
Greenhouse (Accessible),2024-11,6,12,6340.0,528.33,244.0,680.4
Spyglass (Pet Friendly),2024-12,61,110,49422.0,449.29,239.5,699.0
Spyglass,2024-12,62,119,50788.0,426.79,214.5,960.6666666666666
Greenhouse (Pet Friendly),2024-12,39,77,35179.0,456.87,252.0,983.0
Greenhouse,2024-12,79,150,62201.0,414.67,212.5,953.0
Spyglass (Accessible),2024-12,15,27,10041.0,371.89,224.0,531.0
Greenhouse (Accessible),2024-12,5,9,3419.0,379.89,272.0,612.0
Greenhouse,2025-01,100,178,63414.0,356.26,179.0,1015.0
Greenhouse (Accessible),2025-01,9,16,6258.0,391.12,208.0,613.0
Greenhouse (Pet Friendly),2025-01,48,90,34518.0,383.53,224.0,655.0
Spyglass (Pet Friendly),2025-01,34,61,28350.0,464.75,232.0,873.0
Spyglass,2025-01,68,116,50216.0,432.9,197.0,755.0
Spyglass (Accessible),2025-01,13,20,8344.0,417.2,235.0,650.3333333333334
Greenhouse,2025-02,115,206,82764.0,401.77,177.0,887.0
Spyglass,2025-02,63,105,48963.0,466.31,206.0,1080.0
Spyglass (Accessible),2025-02,13,22,9818.0,446.27,186.0,1436.0
Greenhouse (Pet Friendly),2025-02,49,83,42045.0,506.57,223.0,1743.6666666666667
Spyglass (Pet Friendly),2025-02,62,109,53171.0,487.81,223.0,1073.5
Greenhouse (Accessible),2025-02,9,15,6228.0,415.2,189.0,668.5
Spyglass (Accessible),2025-03,15,24,12390.0,516.25,230.0,890.0
Spyglass,2025-03,74,124,64773.0,522.36,213.0,863.0
Greenhouse,2025-03,118,215,87666.0,407.75,194.0,894.0
Spyglass (Pet Friendly),2025-03,72,123,64167.0,521.68,234.0,1225.0
Greenhouse (Pet Friendly),2025-03,81,144,60365.0,419.2,207.0,940.0
Greenhouse (Accessible),2025-03,16,26,8786.0,337.92,204.0,585.0
Greenhouse,2025-04,138,240,92438.0,385.16,194.0,779.0
Spyglass,2025-04,81,142,69282.0,487.9,224.0,1186.6666666666667
Spyglass (Pet Friendly),2025-04,64,108,46414.0,429.76,212.5,964.5
Greenhouse (Accessible),2025-04,14,22,8488.0,385.82,199.0,611.0
Greenhouse (Pet Friendly),2025-04,52,99,40152.0,405.58,208.0,853.6666666666666
Spyglass (Accessible),2025-04,11,22,11683.0,531.05,244.0,815.8333333333334
Spyglass,2025-05,80,135,68469.0,507.18,231.0,950.0
Greenhouse,2025-05,134,224,93236.0,416.23,192.0,1117.3333333333333
Greenhouse (Accessible),2025-05,17,29,10200.0,351.72,214.0,551.0
Greenhouse (Pet Friendly),2025-05,84,152,60065.0,395.16,196.33333333333337,845.0
Spyglass (Pet Friendly),2025-05,86,144,65932.0,457.86,231.0,787.5
Spyglass (Accessible),2025-05,17,24,10544.0,439.33,244.0,672.0
Greenhouse,2025-06,128,254,101625.0,400.1,234.0,1092.0
Spyglass,2025-06,64,122,60932.0,499.44,264.5,1224.0
Spyglass (Pet Friendly),2025-06,85,151,74413.0,492.8,243.5,987.0
Greenhouse (Pet Friendly),2025-06,84,146,59429.0,407.05,224.0,875.0
Spyglass (Accessible),2025-06,16,27,13600.0,503.7,269.0,950.0
Greenhouse (Accessible),2025-06,15,24,9692.0,403.83,204.0,588.0
Spyglass,2025-07,66,108,58792.0,544.37,274.0,1115.0
Greenhouse,2025-07,115,206,90273.0,438.22,190.0,990.0
Spyglass (Pet Friendly),2025-07,58,92,46348.0,503.78,284.0,932.0
Greenhouse (Accessible),2025-07,9,14,7132.0,509.43,254.0,1519.0
Greenhouse (Pet Friendly),2025-07,53,95,38984.0,410.36,244.0,777.0
