booking_window,lead_time_min,lead_time_max,bookings,revenue,share_of_revenue_pct,share_of_bookings_pct,room_nights
0-7 days,0,7.0,3436,2156150.0,44.32,56.45,5408
8-14 days,8,14.0,916,784316.0,16.12,15.05,1684
15-30 days,15,30.0,936,932972.0,19.18,15.38,1815
31-45 days,31,45.0,385,473284.0,9.73,6.32,839
46-60 days,46,60.0,175,212938.0,4.38,2.87,397
61-75 days,61,75.0,99,120477.0,2.48,1.63,229
76-90 days,76,90.0,46,66685.0,1.37,0.76,120
91-120 days,91,120.0,55,67414.0,1.39,0.9,130
121-180 days,121,180.0,31,42563.0,0.87,0.51,80
181-270 days,181,270.0,8,8630.0,0.18,0.13,21
271-365 days,271,365.0,0,0.0,0.0,0.0,0
365+ days,366,,0,0.0,0.0,0.0,0
