channel,year,bookings,revenue,room_nights,share_of_revenue_pct,share_of_bookings_pct,adr
Direct,2024,692,582830.0,1288,78.32,74.01,452.51
Airbnb,2024,214,144023.0,380,19.35,22.89,379.01
Direct,2025,3254,2683544.0,5795,82.13,78.52,463.08
Expedia,2024,27,16312.0,38,2.19,2.89,429.26
Booking.com,2024,2,1033.0,3,0.14,0.21,344.33
Airbnb,2025,518,332588.0,834,10.18,12.5,398.79
Expedia,2025,156,101033.0,251,3.09,3.76,402.52
Booking.com,2025,47,40352.0,73,1.24,1.13,552.77
Direct,2026,831,738603.0,1462,86.26,82.28,505.2
Mr and Mrs Smith,2025,129,65168.0,182,1.99,3.11,358.07
Group Booking,2025,40,44646.0,148,1.37,0.97,301.66
Expedia,2026,41,25981.0,59,3.03,4.06,440.36
Airbnb,2026,38,26175.0,48,3.06,3.76,545.31
Mr and Mrs Smith,2026,79,47741.0,132,5.58,7.82,361.67
Booking.com,2026,19,17099.0,30,2.0,1.88,569.97
Group Booking,2026,2,640.0,4,0.07,0.2,160.0
