event,family,channel,reservations
MLK,Greenhouse,Direct,24
MLK,Greenhouse,Airbnb,4
MLK,Greenhouse,Expedia,3
MLK,Spyglass,Direct,17
MLK,Spyglass,Airbnb,2
Valentines,Greenhouse,Direct,21
Valentines,Greenhouse,Airbnb,3
Valentines,Greenhouse,Expedia,3
Valentines,Spyglass,Direct,18
Valentines,Spyglass,Airbnb,4
Valentines,Spyglass,Expedia,1
Presidents Day,Greenhouse,Direct,13
Presidents Day,Greenhouse,Airbnb,2
Presidents Day,Greenhouse,Booking.com,2
Presidents Day,Spyglass,Direct,8
Presidents Day,Spyglass,Airbnb,1
Spring Break,Greenhouse,Direct,60
Spring Break,Greenhouse,Airbnb,14
Spring Break,Greenhouse,Expedia,2
Spring Break,Spyglass,Direct,46
Spring Break,Spyglass,Airbnb,14
Memorial Day,Greenhouse,Direct,30
Memorial Day,Greenhouse,Airbnb,3
Memorial Day,Greenhouse,Booking.com,1
Memorial Day,Greenhouse,Expedia,1
Memorial Day,Spyglass,Direct,21
Memorial Day,Spyglass,Airbnb,4
4th of July,Greenhouse,Direct,26
4th of July,Greenhouse,Airbnb,6
4th of July,Greenhouse,Expedia,1
4th of July,Spyglass,Direct,20
4th of July,Spyglass,Airbnb,5
Labor Day,Greenhouse,Direct,21
Labor Day,Greenhouse,Airbnb,3
Labor Day,Greenhouse,Mr and Mrs Smith,2
Labor Day,Spyglass,Direct,24
Labor Day,Spyglass,Airbnb,3
Labor Day,Spyglass,Mr and Mrs Smith,3
Labor Day,Spyglass,Expedia,1
Columbus Day,Greenhouse,Direct,33
Columbus Day,Greenhouse,Mr and Mrs Smith,4
Columbus Day,Spyglass,Direct,23
Columbus Day,Spyglass,Airbnb,1
Columbus Day,Spyglass,Expedia,1
Columbus Day,Spyglass,Mr and Mrs Smith,1
Thanksgiving,Greenhouse,Direct,9
Thanksgiving,Greenhouse,Expedia,1
Thanksgiving,Spyglass,Direct,7
Thanksgiving,Spyglass,Airbnb,2
Pre-XMAS,Greenhouse,Direct,42
Pre-XMAS,Greenhouse,Mr and Mrs Smith,4
Pre-XMAS,Greenhouse,Booking.com,1
Pre-XMAS,Greenhouse,Expedia,1
Pre-XMAS,Spyglass,Direct,30
Pre-XMAS,Spyglass,Mr and Mrs Smith,7
XMAS,Greenhouse,Direct,17
XMAS,Greenhouse,Mr and Mrs Smith,3
XMAS,Greenhouse,Airbnb,2
XMAS,Greenhouse,Expedia,1
XMAS,Spyglass,Direct,10
XMAS,Spyglass,Mr and Mrs Smith,3
NYE,Greenhouse,Direct,26
NYE,Greenhouse,Expedia,3
NYE,Greenhouse,Airbnb,1
NYE,Greenhouse,Booking.com,1
NYE,Greenhouse,Mr and Mrs Smith,1
NYE,Spyglass,Direct,25
NYE,Spyglass,Airbnb,3
NYE,Spyglass,Expedia,1
NYE,Spyglass,Mr and Mrs Smith,1
