event,start_date,end_date,family,reservations,event_room_nights,event_revenue_attributed,event_adr,avg_los_of_reservations,median_lead_time_days
MLK,2025-01-17,2025-01-20,Greenhouse,31,51,20574.17,403.42,1.77,3.0
MLK,2025-01-17,2025-01-20,Spyglass,19,35,20292.67,579.79,2.05,10.0
Valentines,2025-02-12,2025-02-14,Greenhouse,27,35,20840.67,595.45,1.81,13.0
Valentines,2025-02-12,2025-02-14,Spyglass,23,30,19550.0,651.67,1.87,9.0
Presidents Day,2025-02-17,2025-02-18,Greenhouse,17,19,6427.42,338.29,1.82,7.0
Presidents Day,2025-02-17,2025-02-18,Spyglass,9,14,5771.0,412.21,1.89,15.0
Spring Break,2025-03-14,2025-03-23,Greenhouse,76,135,62679.0,464.29,1.86,5.0
Spring Break,2025-03-14,2025-03-23,Spyglass,60,106,61655.0,581.65,1.92,7.0
Memorial Day,2025-05-23,2025-05-26,Greenhouse,35,57,32031.77,561.96,2.14,17.0
Memorial Day,2025-05-23,2025-05-26,Spyglass,25,41,25253.67,615.94,1.8,8.0
4th of July,2025-07-01,2025-07-04,Greenhouse,33,52,26041.83,500.8,2.27,6.0
4th of July,2025-07-01,2025-07-04,Spyglass,25,35,20561.33,587.47,1.92,3.0
Labor Day,2025-08-29,2025-09-01,Greenhouse,26,52,31387.33,603.6,2.19,3.0
Labor Day,2025-08-29,2025-09-01,Spyglass,31,47,29538.17,628.47,1.9,4.0
Columbus Day,2025-10-10,2025-10-13,Greenhouse,37,56,31440.5,561.44,2.03,15.0
Columbus Day,2025-10-10,2025-10-13,Spyglass,26,42,31074.83,739.88,1.88,11.0
Thanksgiving,2025-11-27,2025-11-27,Greenhouse,10,10,5472.08,547.21,2.4,14.5
Thanksgiving,2025-11-27,2025-11-27,Spyglass,9,9,5451.07,605.67,2.78,3.0
Pre-XMAS,2025-12-17,2025-12-23,Greenhouse,48,76,31153.17,409.91,1.69,6.0
Pre-XMAS,2025-12-17,2025-12-23,Spyglass,37,60,28012.0,466.87,1.62,6.0
XMAS,2025-12-24,2025-12-26,Greenhouse,23,27,13479.25,499.23,1.7,3.0
XMAS,2025-12-24,2025-12-26,Spyglass,13,16,12573.0,785.81,1.85,13.0
NYE,2025-12-30,2026-01-02,Greenhouse,32,56,29310.17,523.4,2.0,6.0
NYE,2025-12-30,2026-01-02,Spyglass,30,45,25382.0,564.04,1.87,2.0
