event,family,unit_id,reservations
MLK,Greenhouse,Greenhouse,18
MLK,Greenhouse,Greenhouse (Pet Friendly),11
MLK,Greenhouse,Greenhouse (Accessible),2
MLK,Spyglass,Spyglass,10
MLK,Spyglass,Spyglass (Pet Friendly),8
MLK,Spyglass,Spyglass (Accessible),1
Valentines,Greenhouse,Greenhouse,15
Valentines,Greenhouse,Greenhouse (Pet Friendly),11
Valentines,Greenhouse,Greenhouse (Accessible),1
Valentines,Spyglass,Spyglass (Pet Friendly),12
Valentines,Spyglass,Spyglass,9
Valentines,Spyglass,Spyglass (Accessible),2
Presidents Day,Greenhouse,Greenhouse,13
Presidents Day,Greenhouse,Greenhouse (Pet Friendly),3
Presidents Day,Greenhouse,Greenhouse (Accessible),1
Presidents Day,Spyglass,Spyglass,6
Presidents Day,Spyglass,Spyglass (Pet Friendly),2
Presidents Day,Spyglass,Spyglass (Accessible),1
Spring Break,Greenhouse,Greenhouse,40
Spring Break,Greenhouse,Greenhouse (Pet Friendly),32
Spring Break,Greenhouse,Greenhouse (Accessible),4
Spring Break,Spyglass,Spyglass,29
Spring Break,Spyglass,Spyglass (Pet Friendly),26
Spring Break,Spyglass,Spyglass (Accessible),5
Memorial Day,Greenhouse,Greenhouse,19
Memorial Day,Greenhouse,Greenhouse (Pet Friendly),13
Memorial Day,Greenhouse,Greenhouse (Accessible),3
Memorial Day,Spyglass,Spyglass (Pet Friendly),12
Memorial Day,Spyglass,Spyglass,11
Memorial Day,Spyglass,Spyglass (Accessible),2
4th of July,Greenhouse,Greenhouse,20
4th of July,Greenhouse,Greenhouse (Pet Friendly),11
4th of July,Greenhouse,Greenhouse (Accessible),2
4th of July,Spyglass,Spyglass (Pet Friendly),12
4th of July,Spyglass,Spyglass,11
4th of July,Spyglass,Spyglass (Accessible),2
Labor Day,Greenhouse,Greenhouse,17
Labor Day,Greenhouse,Greenhouse (Pet Friendly),8
Labor Day,Greenhouse,Greenhouse (Accessible),1
Labor Day,Spyglass,Spyglass (Pet Friendly),16
Labor Day,Spyglass,Spyglass,12
Labor Day,Spyglass,Spyglass (Accessible),3
Columbus Day,Greenhouse,Greenhouse,20
Columbus Day,Greenhouse,Greenhouse (Pet Friendly),15
Columbus Day,Greenhouse,Greenhouse (Accessible),2
Columbus Day,Spyglass,Spyglass (Pet Friendly),13
Columbus Day,Spyglass,Spyglass,10
Columbus Day,Spyglass,Spyglass (Accessible),3
Thanksgiving,Greenhouse,Greenhouse,6
Thanksgiving,Greenhouse,Greenhouse (Pet Friendly),3
Thanksgiving,Greenhouse,Greenhouse (Accessible),1
Thanksgiving,Spyglass,Spyglass,5
Thanksgiving,Spyglass,Spyglass (Pet Friendly),4
Pre-XMAS,Greenhouse,Greenhouse,30
Pre-XMAS,Greenhouse,Greenhouse (Pet Friendly),16
Pre-XMAS,Greenhouse,Greenhouse (Accessible),2
Pre-XMAS,Spyglass,Spyglass,17
Pre-XMAS,Spyglass,Spyglass (Pet Friendly),16
Pre-XMAS,Spyglass,Spyglass (Accessible),4
XMAS,Greenhouse,Greenhouse,14
XMAS,Greenhouse,Greenhouse (Pet Friendly),9
XMAS,Spyglass,Spyglass,6
XMAS,Spyglass,Spyglass (Pet Friendly),6
XMAS,Spyglass,Spyglass (Accessible),1
NYE,Greenhouse,Greenhouse,18
NYE,Greenhouse,Greenhouse (Pet Friendly),12
NYE,Greenhouse,Greenhouse (Accessible),2
NYE,Spyglass,Spyglass (Pet Friendly),14
NYE,Spyglass,Spyglass,13
NYE,Spyglass,Spyglass (Accessible),3
