year_month,revenue,room_nights,adr,bookings,occupancy_pct,revpar
2024-08,530.0,2,265.0,1,0.23,0.61
2024-09,108915.0,284,383.5,150,33.81,129.66
2024-10,189870.0,426,445.7,233,49.08,218.74
2024-11,233833.0,505,463.04,290,60.12,278.37
2024-12,211050.0,492,428.96,261,56.68,243.15
2025-01,191100.0,481,397.3,272,55.41,220.16
2025-02,242989.0,540,449.98,311,68.88,309.93
2025-03,298147.0,656,454.49,376,75.58,343.49
2025-04,268457.0,633,424.1,360,75.36,319.59
2025-05,308446.0,708,435.66,418,81.57,355.35
2025-06,319691.0,724,441.56,392,86.19,380.58
2025-07,251856.0,534,471.64,309,61.52,290.16
2025-08,279087.0,597,467.48,352,68.78,321.53
2025-09,234336.0,554,422.99,326,65.95,278.97
2025-10,319609.0,638,500.95,352,73.5,368.21
2025-11,272706.0,574,475.1,323,68.33,324.65
2025-12,280907.0,644,436.19,353,74.19,323.63
2026-01,224697.0,511,439.72,309,58.87,258.87
2026-02,279982.0,528,530.27,308,67.35,357.12
2026-03,351560.0,696,505.11,393,80.18,405.02
