month_index,month_name,revenue,room_nights,adr,bookings,occupancy_pct,revpar,performance_score_1_10
1,January,207898.5,496.0,419.15,290.5,57.14,239.51,3
2,February,261485.5,534.0,489.67,309.5,68.11,333.53,7
3,March,324853.5,676.0,480.55,384.5,77.88,374.26,10
4,April,268457.0,633.0,424.1,360.0,75.36,319.59,7
5,May,308446.0,708.0,435.66,418.0,81.57,355.35,8
6,June,319691.0,724.0,441.56,392.0,86.19,380.58,10
7,July,251856.0,534.0,471.64,309.0,61.52,290.16,4
8,August,139808.5,299.5,466.81,176.5,34.5,161.07,1
9,September,171625.5,419.0,409.61,238.0,49.88,204.32,2
10,October,254739.5,532.0,478.83,292.5,61.29,293.48,6
11,November,253269.5,539.5,469.45,306.5,64.23,301.51,6
12,December,245978.5,568.0,433.06,307.0,65.44,283.39,3
