tier_id,tier_label,lead_band,adr,revenue,revenue_share_of_tier,booking_count,room_nights,room_night_share_of_tier,occupancy_pct_of_tier_capacity,tier_occupancy_pct
1,Soft,0-7 days,381.08,269040.0,45.71,476,706,50.79,20.67,40.69
1,Soft,8-14 days,441.97,90161.0,15.32,111,204,14.68,5.97,40.69
1,Soft,15-30 days,477.61,118925.0,20.21,127,249,17.91,7.29,40.69
1,Soft,31-45 days,508.66,48831.0,8.3,46,96,6.91,2.81,40.69
1,Soft,46-60 days,527.16,28994.0,4.93,23,55,3.96,1.61,40.69
1,Soft,61-75 days,409.19,6547.0,1.11,8,16,1.15,0.47,40.69
1,Soft,76-90 days,390.92,5082.0,0.86,5,13,0.94,0.38,40.69
1,Soft,91-120 days,394.69,12630.0,2.15,14,32,2.3,0.94,40.69
1,Soft,121-180 days,439.21,8345.0,1.42,7,19,1.37,0.56,40.69
2,Low,0-7 days,393.48,390330.0,45.31,633,992,50.85,29.28,57.59
2,Low,8-14 days,469.61,152624.0,17.72,175,325,16.66,9.59,57.59
2,Low,15-30 days,483.3,167222.0,19.41,180,346,17.73,10.21,57.59
2,Low,31-45 days,539.78,71791.0,8.33,69,133,6.82,3.93,57.59
2,Low,46-60 days,527.12,30573.0,3.55,28,58,2.97,1.71,57.59
2,Low,61-75 days,497.57,26371.0,3.06,24,53,2.72,1.56,57.59
2,Low,76-90 days,498.93,6985.0,0.81,6,14,0.72,0.41,57.59
2,Low,91-120 days,577.95,12137.0,1.41,8,21,1.08,0.62,57.59
2,Low,121-180 days,416.29,2914.0,0.34,3,7,0.36,0.21,57.59
2,Low,181-270 days,297.0,594.0,0.07,1,2,0.1,0.06,57.59
3,Shoulder,0-7 days,387.63,434922.0,46.57,674,1122,52.68,32.85,62.35
3,Shoulder,8-14 days,419.01,147072.0,15.75,196,351,16.48,10.28,62.35
3,Shoulder,15-30 days,513.84,168027.0,17.99,166,327,15.35,9.57,62.35
3,Shoulder,31-45 days,559.49,102387.0,10.96,80,183,8.59,5.36,62.35
3,Shoulder,46-60 days,608.12,36487.0,3.91,27,60,2.82,1.76,62.35
3,Shoulder,61-75 days,507.82,19297.0,2.07,15,38,1.78,1.11,62.35
3,Shoulder,76-90 days,552.94,9953.0,1.07,7,18,0.85,0.53,62.35
3,Shoulder,91-120 days,499.29,8488.0,0.91,8,17,0.8,0.5,62.35
3,Shoulder,121-180 days,518.0,7252.0,0.78,6,14,0.66,0.41,62.35
4,High,0-7 days,373.4,496242.0,46.58,844,1329,54.65,38.91,71.19
4,High,8-14 days,465.52,170847.0,16.04,200,367,15.09,10.74,71.19
4,High,15-30 days,505.33,184446.0,17.31,192,365,15.01,10.69,71.19
4,High,31-45 days,606.2,97599.0,9.16,71,161,6.62,4.71,71.19
4,High,46-60 days,559.72,47576.0,4.47,39,85,3.5,2.49,71.19
4,High,61-75 days,530.22,21209.0,1.99,17,40,1.64,1.17,71.19
4,High,76-90 days,535.86,18755.0,1.76,13,35,1.44,1.02,71.19
4,High,91-120 days,595.63,11317.0,1.06,8,19,0.78,0.56,71.19
4,High,121-180 days,622.29,13068.0,1.23,8,21,0.86,0.61,71.19
4,High,181-270 days,425.6,4256.0,0.4,4,10,0.41,0.29,71.19
5,Peak,0-7 days,449.26,565616.0,39.94,809,1259,44.65,37.16,83.23
5,Peak,8-14 days,511.7,223612.0,15.79,234,437,15.5,12.9,83.23
5,Peak,15-30 days,557.48,294352.0,20.79,271,528,18.72,15.58,83.23
5,Peak,31-45 days,573.97,152676.0,10.78,119,266,9.43,7.85,83.23
5,Peak,46-60 days,498.62,69308.0,4.89,58,139,4.93,4.1,83.23
5,Peak,61-75 days,573.82,47053.0,3.32,35,82,2.91,2.42,83.23
5,Peak,76-90 days,647.75,25910.0,1.83,15,40,1.42,1.18,83.23
5,Peak,91-120 days,557.12,22842.0,1.61,17,41,1.45,1.21,83.23
5,Peak,121-180 days,578.11,10984.0,0.78,7,19,0.67,0.56,83.23
5,Peak,181-270 days,420.0,3780.0,0.27,3,9,0.32,0.27,83.23
