tier_id,tier_label,lead_band,adr,revenue,revenue_share_of_tier,room_nights,room_nights_share_of_tier,occupancy_pct_of_tier_days,booking_count
4,High,0-7 days,373.4,496242.0,46.58,1329,54.65,38.91,844
4,High,8-14 days,465.52,170847.0,16.04,367,15.09,10.74,200
4,High,15-30 days,505.33,184446.0,17.31,365,15.01,10.69,192
4,High,31-45 days,606.2,97599.0,9.16,161,6.62,4.71,71
4,High,46-60 days,559.72,47576.0,4.47,85,3.5,2.49,39
4,High,61-75 days,530.22,21209.0,1.99,40,1.64,1.17,17
4,High,76-90 days,535.86,18755.0,1.76,35,1.44,1.02,13
4,High,91-120 days,595.63,11317.0,1.06,19,0.78,0.56,8
4,High,121-180 days,622.29,13068.0,1.23,21,0.86,0.61,8
4,High,181-270 days,425.6,4256.0,0.4,10,0.41,0.29,4
5,Peak,0-7 days,449.26,565616.0,39.94,1259,44.65,37.16,809
5,Peak,8-14 days,511.7,223612.0,15.79,437,15.5,12.9,234
5,Peak,15-30 days,557.48,294352.0,20.79,528,18.72,15.58,271
5,Peak,31-45 days,573.97,152676.0,10.78,266,9.43,7.85,119
5,Peak,46-60 days,498.62,69308.0,4.89,139,4.93,4.1,58
5,Peak,61-75 days,573.82,47053.0,3.32,82,2.91,2.42,35
5,Peak,76-90 days,647.75,25910.0,1.83,40,1.42,1.18,15
5,Peak,91-120 days,557.12,22842.0,1.61,41,1.45,1.21,17
5,Peak,121-180 days,578.11,10984.0,0.78,19,0.67,0.56,7
5,Peak,181-270 days,420.0,3780.0,0.27,9,0.32,0.27,3
