section,tier_label,metric_key,metric_name,baseline,W1,W2,W3,W4,W5,W6,W1_vs_baseline,W2_vs_baseline,W3_vs_baseline,W4_vs_baseline,W5_vs_baseline,W6_vs_baseline,direction_goal,test_success_criteria,notes
notes,ALL,success_criteria,Test success criteria (High tier primary),,,,,,,,,,,,,,,ADR 0-7 up; 0-7 revenue share down; 0-7 occupancy contribution stable/up (within ~3-5 ppt tolerance),Review weekly for 4-6 weeks after pricing rule changes.
notes,ALL,delta_definition,Delta columns definition,,,,,,,,,,,,,,,Each W*_vs_baseline = W* - baseline,Positive delta means increase vs baseline; negative means decrease.
scorecard,High,weighted_adr,Weighted ADR,438.04,,,,,,,"=IF(F2="""","""",F2-E2)","=IF(G2="""","""",G2-E2)","=IF(H2="""","""",H2-E2)","=IF(I2="""","""",I2-E2)","=IF(J2="""","""",J2-E2)","=IF(K2="""","""",K2-E2)",up_or_stable,Weighted ADR does not deteriorate while tightening last-minute holds,
scorecard,High,adr_0_7,ADR 0-7,373.4,,,,,,,"=IF(F3="""","""",F3-E3)","=IF(G3="""","""",G3-E3)","=IF(H3="""","""",H3-E3)","=IF(I3="""","""",I3-E3)","=IF(J3="""","""",J3-E3)","=IF(K3="""","""",K3-E3)",up,High tier ADR 0-7 up vs baseline,
scorecard,High,share_0_7,0-7 revenue share (%),46.58,,,,,,,"=IF(F4="""","""",F4-E4)","=IF(G4="""","""",G4-E4)","=IF(H4="""","""",H4-E4)","=IF(I4="""","""",I4-E4)","=IF(J4="""","""",J4-E4)","=IF(K4="""","""",K4-E4)",down,High tier 0-7 revenue share down vs baseline,
scorecard,High,occ_0_7,0-7 occupancy contribution (%),38.91,,,,,,,"=IF(F5="""","""",F5-E5)","=IF(G5="""","""",G5-E5)","=IF(H5="""","""",H5-E5)","=IF(I5="""","""",I5-E5)","=IF(J5="""","""",J5-E5)","=IF(K5="""","""",K5-E5)",stable_or_up,High tier 0-7 occupancy contribution stable or up (tolerance within ~3-5 ppt),
scorecard,High,adr_gap,ADR gap (0-7 vs >7),142.53,,,,,,,"=IF(F6="""","""",F6-E6)","=IF(G6="""","""",G6-E6)","=IF(H6="""","""",H6-E6)","=IF(I6="""","""",I6-E6)","=IF(J6="""","""",J6-E6)","=IF(K6="""","""",K6-E6)",down,ADR gap (0-7 vs >7) compresses toward 0,
scorecard,Peak,weighted_adr,Weighted ADR,502.17,,,,,,,"=IF(F7="""","""",F7-E7)","=IF(G7="""","""",G7-E7)","=IF(H7="""","""",H7-E7)","=IF(I7="""","""",I7-E7)","=IF(J7="""","""",J7-E7)","=IF(K7="""","""",K7-E7)",,,
scorecard,Peak,adr_0_7,ADR 0-7,449.26,,,,,,,"=IF(F8="""","""",F8-E8)","=IF(G8="""","""",G8-E8)","=IF(H8="""","""",H8-E8)","=IF(I8="""","""",I8-E8)","=IF(J8="""","""",J8-E8)","=IF(K8="""","""",K8-E8)",,,
scorecard,Peak,share_0_7,0-7 revenue share (%),39.94,,,,,,,"=IF(F9="""","""",F9-E9)","=IF(G9="""","""",G9-E9)","=IF(H9="""","""",H9-E9)","=IF(I9="""","""",I9-E9)","=IF(J9="""","""",J9-E9)","=IF(K9="""","""",K9-E9)",,,
scorecard,Peak,occ_0_7,0-7 occupancy contribution (%),37.16,,,,,,,"=IF(F10="""","""",F10-E10)","=IF(G10="""","""",G10-E10)","=IF(H10="""","""",H10-E10)","=IF(I10="""","""",I10-E10)","=IF(J10="""","""",J10-E10)","=IF(K10="""","""",K10-E10)",,,
scorecard,Peak,adr_gap,ADR gap (0-7 vs >7),95.59,,,,,,,"=IF(F11="""","""",F11-E11)","=IF(G11="""","""",G11-E11)","=IF(H11="""","""",H11-E11)","=IF(I11="""","""",I11-E11)","=IF(J11="""","""",J11-E11)","=IF(K11="""","""",K11-E11)",,,
