Date,Day of the week,Greenhouse,Greenhouse ADA,Greenhouse Pet Friendly,Spyglass,Spyglass ADA,Spyglass Pet Friendly,Comments
1/4/2027,Mon,345,345,345,414,414,414,
1/5/2027,Tue,345,345,345,414,414,414,
1/6/2027,Wed,345,345,345,414,414,414,
1/7/2027,Thu,378,378,378,453,453,453,
1/8/2027,Fri,506,506,506,607,607,607,
1/9/2027,Sat,686,686,686,824,824,824,
1/10/2027,Sun,401,401,401,481,481,481,
1/11/2027,Mon,345,345,345,414,414,414,
1/12/2027,Tue,345,345,345,414,414,414,
1/13/2027,Wed,345,345,345,414,414,414,
1/14/2027,Thu,378,378,378,453,453,453,
1/15/2027,Fri,658,658,658,789,789,789,MLK
1/16/2027,Sat,892,892,892,1071,1071,1071,MLK
1/17/2027,Sun,521,521,521,625,625,625,MLK
1/18/2027,Mon,449,449,449,538,538,538,MLK
1/19/2027,Tue,345,345,345,414,414,414,
1/20/2027,Wed,345,345,345,414,414,414,
1/21/2027,Thu,378,378,378,453,453,453,
1/22/2027,Fri,506,506,506,607,607,607,
1/23/2027,Sat,686,686,686,824,824,824,
1/24/2027,Sun,401,401,401,481,481,481,
1/25/2027,Mon,345,345,345,414,414,414,
1/26/2027,Tue,345,345,345,414,414,414,
1/27/2027,Wed,345,345,345,414,414,414,
1/28/2027,Thu,378,378,378,453,453,453,
1/29/2027,Fri,506,506,506,607,607,607,
1/30/2027,Sat,686,686,686,824,824,824,
1/31/2027,Sun,401,401,401,481,481,481,
2/1/2027,Mon,406,406,406,487,487,487,
2/2/2027,Tue,406,406,406,487,487,487,
2/3/2027,Wed,406,406,406,487,487,487,
2/4/2027,Thu,445,445,445,533,533,533,
2/5/2027,Fri,595,595,595,714,714,714,
2/6/2027,Sat,807,807,807,969,969,969,
2/7/2027,Sun,472,472,472,566,566,566,
2/8/2027,Mon,406,406,406,487,487,487,
2/9/2027,Tue,406,406,406,487,487,487,
2/10/2027,Wed,406,406,406,487,487,487,
2/11/2027,Thu,445,445,445,533,533,533,
2/12/2027,Fri,1071,1071,1071,1285,1285,1285,Valentines
2/13/2027,Sat,1453,1453,1453,1744,1744,1744,Valentines
2/14/2027,Sun,850,850,850,1019,1019,1019,Valentines
2/15/2027,Mon,650,650,650,779,779,779,Presidents Day
2/16/2027,Tue,406,406,406,487,487,487,
2/17/2027,Wed,406,406,406,487,487,487,
2/18/2027,Thu,445,445,445,533,533,533,
2/19/2027,Fri,595,595,595,714,714,714,
2/20/2027,Sat,807,807,807,969,969,969,
2/21/2027,Sun,472,472,472,566,566,566,
2/22/2027,Mon,406,406,406,487,487,487,
2/23/2027,Tue,406,406,406,487,487,487,
2/24/2027,Wed,406,406,406,487,487,487,
2/25/2027,Thu,445,445,445,533,533,533,
2/26/2027,Fri,595,595,595,714,714,714,
2/27/2027,Sat,807,807,807,969,969,969,
2/28/2027,Sun,472,472,472,566,566,566,
3/1/2027,Mon,467,467,467,560,560,560,
3/2/2027,Tue,467,467,467,560,560,560,
3/3/2027,Wed,467,467,467,560,560,560,
3/4/2027,Thu,511,511,511,613,613,613,
3/5/2027,Fri,684,684,684,822,822,822,
3/6/2027,Sat,930,930,930,1115,1115,1115,
3/7/2027,Sun,542,542,542,651,651,651,
3/8/2027,Mon,467,467,467,560,560,560,
3/9/2027,Tue,467,467,467,560,560,560,
3/10/2027,Wed,467,467,467,560,560,560,
3/11/2027,Thu,511,511,511,613,613,613,
3/12/2027,Fri,890,890,890,1068,1068,1068,Spring Break
3/13/2027,Sat,1208,1208,1208,1450,1450,1450,Spring Break
3/14/2027,Sun,705,705,705,846,846,846,Spring Break
3/15/2027,Mon,607,607,607,728,728,728,Spring Break
3/16/2027,Tue,607,607,607,728,728,728,Spring Break
3/17/2027,Wed,607,607,607,728,728,728,Spring Break
3/18/2027,Thu,664,664,664,797,797,797,Spring Break
3/19/2027,Fri,890,890,890,1068,1068,1068,Spring Break
3/20/2027,Sat,1208,1208,1208,1450,1450,1450,Spring Break
3/21/2027,Sun,705,705,705,846,846,846,Spring Break
3/22/2027,Mon,467,467,467,560,560,560,
3/23/2027,Tue,467,467,467,560,560,560,
3/24/2027,Wed,467,467,467,560,560,560,
3/25/2027,Thu,511,511,511,613,613,613,
3/26/2027,Fri,684,684,684,822,822,822,
3/27/2027,Sat,930,930,930,1115,1115,1115,
3/28/2027,Sun,542,542,542,651,651,651,
3/29/2027,Mon,467,467,467,560,560,560,
3/30/2027,Tue,467,467,467,560,560,560,
3/31/2027,Wed,467,467,467,560,560,560,
4/1/2027,Thu,511,511,511,613,613,613,
4/2/2027,Fri,684,684,684,822,822,822,
4/3/2027,Sat,930,930,930,1115,1115,1115,
4/4/2027,Sun,542,542,542,651,651,651,
4/5/2027,Mon,467,467,467,560,560,560,
4/6/2027,Tue,467,467,467,560,560,560,
4/7/2027,Wed,467,467,467,560,560,560,
4/8/2027,Thu,511,511,511,613,613,613,
4/9/2027,Fri,684,684,684,822,822,822,
4/10/2027,Sat,930,930,930,1115,1115,1115,
4/11/2027,Sun,542,542,542,651,651,651,
4/12/2027,Mon,467,467,467,560,560,560,
4/13/2027,Tue,467,467,467,560,560,560,
4/14/2027,Wed,467,467,467,560,560,560,
4/15/2027,Thu,511,511,511,613,613,613,
4/16/2027,Fri,684,684,684,822,822,822,
4/17/2027,Sat,930,930,930,1115,1115,1115,
4/18/2027,Sun,542,542,542,651,651,651,
4/19/2027,Mon,467,467,467,560,560,560,
4/20/2027,Tue,467,467,467,560,560,560,
4/21/2027,Wed,467,467,467,560,560,560,
4/22/2027,Thu,511,511,511,613,613,613,
4/23/2027,Fri,684,684,684,822,822,822,
4/24/2027,Sat,930,930,930,1115,1115,1115,
4/25/2027,Sun,542,542,542,651,651,651,
4/26/2027,Mon,467,467,467,560,560,560,
4/27/2027,Tue,467,467,467,560,560,560,
4/28/2027,Wed,467,467,467,560,560,560,
4/29/2027,Thu,511,511,511,613,613,613,
