listing_group,month_index,month_name,season,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Greenhouse,1,January,Low,345,345,345,378,460,624,401
Greenhouse,2,February,Shoulder,406,406,406,445,541,734,472
Greenhouse,3,March,High,467,467,467,511,622,845,542
Greenhouse,4,April,High,467,467,467,511,622,845,542
Greenhouse,5,May,Peak,528,528,528,578,704,955,613
Greenhouse,6,June,Peak,528,528,528,578,704,955,613
Greenhouse,7,July,Low,345,345,345,378,460,624,401
Greenhouse,8,August,Shoulder,406,406,406,445,541,734,472
Greenhouse,9,September,Shoulder,406,406,406,445,541,734,472
Greenhouse,10,October,High,467,467,467,511,622,845,542
Greenhouse,11,November,Shoulder,406,406,406,445,541,734,472
Greenhouse,12,December,High,467,467,467,511,622,845,542
Spyglass,1,January,Low,414,414,414,453,552,749,481
Spyglass,2,February,Shoulder,487,487,487,533,649,881,566
Spyglass,3,March,High,560,560,560,613,747,1014,651
Spyglass,4,April,High,560,560,560,613,747,1014,651
Spyglass,5,May,Peak,633,633,633,693,844,1146,736
Spyglass,6,June,Peak,633,633,633,693,844,1146,736
Spyglass,7,July,Low,414,414,414,453,552,749,481
Spyglass,8,August,Shoulder,487,487,487,533,649,881,566
Spyglass,9,September,Shoulder,487,487,487,533,649,881,566
Spyglass,10,October,High,560,560,560,613,747,1014,651
Spyglass,11,November,Shoulder,487,487,487,533,649,881,566
Spyglass,12,December,High,560,560,560,613,747,1014,651
