date,day_of_week,Greenhouse,Spyglass,notes
2027-01-04,Monday,345,414,
2027-01-05,Tuesday,345,414,
2027-01-06,Wednesday,345,414,
2027-01-07,Thursday,378,453,
2027-01-08,Friday,460,552,
2027-01-09,Saturday,624,749,
2027-01-10,Sunday,401,481,
2027-01-11,Monday,345,414,
2027-01-12,Tuesday,345,414,
2027-01-13,Wednesday,345,414,
2027-01-14,Thursday,378,453,
2027-01-15,Friday,506,607,MLK
2027-01-16,Saturday,686,824,MLK
2027-01-17,Sunday,441,529,MLK
2027-01-18,Monday,380,455,MLK
2027-01-19,Tuesday,345,414,
2027-01-20,Wednesday,345,414,
2027-01-21,Thursday,378,453,
2027-01-22,Friday,460,552,
2027-01-23,Saturday,624,749,
2027-01-24,Sunday,401,481,
2027-01-25,Monday,345,414,
2027-01-26,Tuesday,345,414,
2027-01-27,Wednesday,345,414,
2027-01-28,Thursday,378,453,
2027-01-29,Friday,460,552,
2027-01-30,Saturday,624,749,
2027-01-31,Sunday,401,481,
2027-02-01,Monday,406,487,
2027-02-02,Tuesday,406,487,
2027-02-03,Wednesday,406,487,
2027-02-04,Thursday,445,533,
2027-02-05,Friday,541,649,
2027-02-06,Saturday,734,881,
2027-02-07,Sunday,472,566,
2027-02-08,Monday,406,487,
2027-02-09,Tuesday,406,487,
2027-02-10,Wednesday,406,487,
2027-02-11,Thursday,445,533,
2027-02-12,Friday,595,714,Valentines
2027-02-13,Saturday,807,969,Valentines
2027-02-14,Sunday,519,623,Valentines
2027-02-15,Monday,467,560,Presidents Day
2027-02-16,Tuesday,467,560,Presidents Day
2027-02-17,Wednesday,406,487,
2027-02-18,Thursday,445,533,
2027-02-19,Friday,541,649,
2027-02-20,Saturday,734,881,
2027-02-21,Sunday,472,566,
2027-02-22,Monday,406,487,
2027-02-23,Tuesday,406,487,
2027-02-24,Wednesday,406,487,
2027-02-25,Thursday,445,533,
2027-02-26,Friday,541,649,
2027-02-27,Saturday,734,881,
2027-02-28,Sunday,472,566,
2027-03-01,Monday,467,560,
2027-03-02,Tuesday,467,560,
2027-03-03,Wednesday,467,560,
2027-03-04,Thursday,511,613,
2027-03-05,Friday,622,747,
2027-03-06,Saturday,845,1014,
2027-03-07,Sunday,542,651,
2027-03-08,Monday,467,560,
2027-03-09,Tuesday,467,560,
2027-03-10,Wednesday,467,560,
2027-03-11,Thursday,511,613,
2027-03-12,Friday,684,822,Spring Break
2027-03-13,Saturday,930,1115,Spring Break
2027-03-14,Sunday,596,716,Spring Break
2027-03-15,Monday,514,616,Spring Break
2027-03-16,Tuesday,514,616,Spring Break
2027-03-17,Wednesday,514,616,Spring Break
2027-03-18,Thursday,562,674,Spring Break
2027-03-19,Friday,684,822,Spring Break
2027-03-20,Saturday,930,1115,Spring Break
2027-03-21,Sunday,596,716,Spring Break
2027-03-22,Monday,467,560,
2027-03-23,Tuesday,467,560,
2027-03-24,Wednesday,467,560,
2027-03-25,Thursday,511,613,
2027-03-26,Friday,622,747,
2027-03-27,Saturday,845,1014,
2027-03-28,Sunday,542,651,
2027-03-29,Monday,467,560,
2027-03-30,Tuesday,467,560,
2027-03-31,Wednesday,467,560,
2027-04-01,Thursday,511,613,
2027-04-02,Friday,622,747,
2027-04-03,Saturday,845,1014,
2027-04-04,Sunday,542,651,
2027-04-05,Monday,467,560,
2027-04-06,Tuesday,467,560,
2027-04-07,Wednesday,467,560,
2027-04-08,Thursday,511,613,
2027-04-09,Friday,622,747,
2027-04-10,Saturday,845,1014,
2027-04-11,Sunday,542,651,
2027-04-12,Monday,467,560,
2027-04-13,Tuesday,467,560,
2027-04-14,Wednesday,467,560,
2027-04-15,Thursday,511,613,
2027-04-16,Friday,622,747,
2027-04-17,Saturday,845,1014,
2027-04-18,Sunday,542,651,
2027-04-19,Monday,467,560,
2027-04-20,Tuesday,467,560,
2027-04-21,Wednesday,467,560,
2027-04-22,Thursday,511,613,
2027-04-23,Friday,622,747,
2027-04-24,Saturday,845,1014,
2027-04-25,Sunday,542,651,
2027-04-26,Monday,467,560,
2027-04-27,Tuesday,467,560,
2027-04-28,Wednesday,467,560,
2027-04-29,Thursday,511,613,
2027-04-30,Friday,622,747,
2027-05-01,Saturday,955,1146,
2027-05-02,Sunday,613,736,
2027-05-03,Monday,528,633,
2027-05-04,Tuesday,528,633,
2027-05-05,Wednesday,528,633,
2027-05-06,Thursday,578,693,
2027-05-07,Friday,704,844,
2027-05-08,Saturday,955,1146,
2027-05-09,Sunday,613,736,
2027-05-10,Monday,528,633,
2027-05-11,Tuesday,528,633,
2027-05-12,Wednesday,528,633,
2027-05-13,Thursday,578,693,
2027-05-14,Friday,704,844,
2027-05-15,Saturday,955,1146,
2027-05-16,Sunday,613,736,
2027-05-17,Monday,528,633,
2027-05-18,Tuesday,528,633,
2027-05-19,Wednesday,528,633,
2027-05-20,Thursday,578,693,
2027-05-21,Friday,704,844,
2027-05-22,Saturday,955,1146,
2027-05-23,Sunday,613,736,
2027-05-24,Monday,528,633,
2027-05-25,Tuesday,528,633,
2027-05-26,Wednesday,528,633,
2027-05-27,Thursday,578,693,
2027-05-28,Friday,880,1055,Memorial Day
2027-05-29,Saturday,1194,1432,Memorial Day
2027-05-30,Sunday,766,920,Memorial Day
2027-05-31,Monday,660,791,Memorial Day
2027-06-01,Tuesday,528,633,
2027-06-02,Wednesday,528,633,
2027-06-03,Thursday,578,693,
2027-06-04,Friday,704,844,
2027-06-05,Saturday,955,1146,
2027-06-06,Sunday,613,736,
2027-06-07,Monday,528,633,
2027-06-08,Tuesday,528,633,
2027-06-09,Wednesday,528,633,
2027-06-10,Thursday,578,693,
2027-06-11,Friday,704,844,
2027-06-12,Saturday,955,1146,
2027-06-13,Sunday,613,736,
2027-06-14,Monday,528,633,
2027-06-15,Tuesday,528,633,
2027-06-16,Wednesday,528,633,
2027-06-17,Thursday,578,693,
2027-06-18,Friday,704,844,
2027-06-19,Saturday,955,1146,
2027-06-20,Sunday,613,736,
2027-06-21,Monday,528,633,
2027-06-22,Tuesday,528,633,
2027-06-23,Wednesday,528,633,
2027-06-24,Thursday,578,693,
2027-06-25,Friday,704,844,
2027-06-26,Saturday,955,1146,
2027-06-27,Sunday,613,736,
2027-06-28,Monday,528,633,
2027-06-29,Tuesday,528,633,
2027-06-30,Wednesday,528,633,
2027-07-01,Thursday,454,544,4th of July
2027-07-02,Friday,552,662,4th of July
2027-07-03,Saturday,749,899,4th of July
2027-07-04,Sunday,481,577,4th of July
2027-07-05,Monday,345,414,
2027-07-06,Tuesday,345,414,
2027-07-07,Wednesday,345,414,
2027-07-08,Thursday,378,453,
2027-07-09,Friday,460,552,
2027-07-10,Saturday,624,749,
2027-07-11,Sunday,401,481,
2027-07-12,Monday,345,414,
2027-07-13,Tuesday,345,414,
2027-07-14,Wednesday,345,414,
2027-07-15,Thursday,378,453,
2027-07-16,Friday,460,552,
2027-07-17,Saturday,624,749,
2027-07-18,Sunday,401,481,
2027-07-19,Monday,345,414,
2027-07-20,Tuesday,345,414,
2027-07-21,Wednesday,345,414,
2027-07-22,Thursday,378,453,
2027-07-23,Friday,460,552,
2027-07-24,Saturday,624,749,
2027-07-25,Sunday,401,481,
2027-07-26,Monday,345,414,
2027-07-27,Tuesday,345,414,
2027-07-28,Wednesday,345,414,
2027-07-29,Thursday,378,453,
2027-07-30,Friday,460,552,
2027-07-31,Saturday,624,749,
2027-08-01,Sunday,472,566,
2027-08-02,Monday,406,487,
2027-08-03,Tuesday,406,487,
2027-08-04,Wednesday,406,487,
2027-08-05,Thursday,445,533,
2027-08-06,Friday,541,649,
2027-08-07,Saturday,734,881,
2027-08-08,Sunday,472,566,
2027-08-09,Monday,406,487,
2027-08-10,Tuesday,406,487,
2027-08-11,Wednesday,406,487,
2027-08-12,Thursday,445,533,
2027-08-13,Friday,541,649,
2027-08-14,Saturday,734,881,
2027-08-15,Sunday,472,566,
2027-08-16,Monday,406,487,
2027-08-17,Tuesday,406,487,
2027-08-18,Wednesday,406,487,
2027-08-19,Thursday,445,533,
2027-08-20,Friday,541,649,
2027-08-21,Saturday,734,881,
2027-08-22,Sunday,472,566,
2027-08-23,Monday,406,487,
2027-08-24,Tuesday,406,487,
2027-08-25,Wednesday,406,487,
2027-08-26,Thursday,445,533,
2027-08-27,Friday,541,649,
2027-08-28,Saturday,734,881,
2027-08-29,Sunday,472,566,
2027-08-30,Monday,406,487,
2027-08-31,Tuesday,406,487,
2027-09-01,Wednesday,406,487,
2027-09-02,Thursday,445,533,
2027-09-03,Friday,622,746,Labor Day
2027-09-04,Saturday,844,1013,Labor Day
2027-09-05,Sunday,543,651,Labor Day
2027-09-06,Monday,467,560,Labor Day
2027-09-07,Tuesday,406,487,
2027-09-08,Wednesday,406,487,
2027-09-09,Thursday,445,533,
2027-09-10,Friday,541,649,
2027-09-11,Saturday,734,881,
2027-09-12,Sunday,472,566,
2027-09-13,Monday,406,487,
2027-09-14,Tuesday,406,487,
2027-09-15,Wednesday,406,487,
2027-09-16,Thursday,445,533,
2027-09-17,Friday,541,649,
2027-09-18,Saturday,734,881,
2027-09-19,Sunday,472,566,
2027-09-20,Monday,406,487,
2027-09-21,Tuesday,406,487,
2027-09-22,Wednesday,406,487,
2027-09-23,Thursday,445,533,
2027-09-24,Friday,541,649,
2027-09-25,Saturday,734,881,
2027-09-26,Sunday,472,566,
2027-09-27,Monday,406,487,
2027-09-28,Tuesday,406,487,
2027-09-29,Wednesday,406,487,
2027-09-30,Thursday,445,533,
2027-10-01,Friday,622,747,
2027-10-02,Saturday,845,1014,
2027-10-03,Sunday,542,651,
2027-10-04,Monday,467,560,
2027-10-05,Tuesday,467,560,
2027-10-06,Wednesday,467,560,
2027-10-07,Thursday,511,613,
2027-10-08,Friday,684,822,Columbus Day
2027-10-09,Saturday,930,1115,Columbus Day
2027-10-10,Sunday,596,716,Columbus Day
2027-10-11,Monday,514,616,Columbus Day
2027-10-12,Tuesday,467,560,
2027-10-13,Wednesday,467,560,
2027-10-14,Thursday,511,613,
2027-10-15,Friday,622,747,
2027-10-16,Saturday,845,1014,
2027-10-17,Sunday,542,651,
2027-10-18,Monday,467,560,
2027-10-19,Tuesday,467,560,
2027-10-20,Wednesday,467,560,
2027-10-21,Thursday,511,613,
2027-10-22,Friday,622,747,
2027-10-23,Saturday,845,1014,
2027-10-24,Sunday,542,651,
2027-10-25,Monday,467,560,
2027-10-26,Tuesday,467,560,
2027-10-27,Wednesday,467,560,
2027-10-28,Thursday,511,613,
2027-10-29,Friday,622,747,
2027-10-30,Saturday,845,1014,
2027-10-31,Sunday,542,651,
2027-11-01,Monday,406,487,
2027-11-02,Tuesday,406,487,
2027-11-03,Wednesday,406,487,
2027-11-04,Thursday,445,533,
2027-11-05,Friday,541,649,
2027-11-06,Saturday,734,881,
2027-11-07,Sunday,472,566,
2027-11-08,Monday,406,487,
2027-11-09,Tuesday,406,487,
2027-11-10,Wednesday,406,487,
2027-11-11,Thursday,445,533,
2027-11-12,Friday,541,649,
2027-11-13,Saturday,734,881,
2027-11-14,Sunday,472,566,
2027-11-15,Monday,406,487,
2027-11-16,Tuesday,406,487,
2027-11-17,Wednesday,406,487,
2027-11-18,Thursday,445,533,
2027-11-19,Friday,541,649,
2027-11-20,Saturday,734,881,
2027-11-21,Sunday,472,566,
2027-11-22,Monday,406,487,
2027-11-23,Tuesday,406,487,
2027-11-24,Wednesday,406,487,
2027-11-25,Thursday,534,640,Thanksgiving
2027-11-26,Friday,541,649,
2027-11-27,Saturday,734,881,
2027-11-28,Sunday,472,566,
2027-11-29,Monday,406,487,
2027-11-30,Tuesday,406,487,
2027-12-01,Wednesday,467,560,
2027-12-02,Thursday,511,613,
2027-12-03,Friday,622,747,
2027-12-04,Saturday,845,1014,
2027-12-05,Sunday,542,651,
2027-12-06,Monday,467,560,
2027-12-07,Tuesday,467,560,
2027-12-08,Wednesday,467,560,
2027-12-09,Thursday,511,613,
2027-12-10,Friday,622,747,
2027-12-11,Saturday,845,1014,
2027-12-12,Sunday,542,651,
2027-12-13,Monday,467,560,
2027-12-14,Tuesday,467,560,
2027-12-15,Wednesday,467,560,
2027-12-16,Thursday,511,613,
2027-12-17,Friday,653,784,Pre-XMAS
2027-12-18,Saturday,887,1065,Pre-XMAS
2027-12-19,Sunday,569,684,Pre-XMAS
2027-12-20,Monday,490,588,Pre-XMAS
2027-12-21,Tuesday,490,588,Pre-XMAS
2027-12-22,Wednesday,490,588,Pre-XMAS
2027-12-23,Thursday,537,644,Pre-XMAS
2027-12-24,Friday,746,896,XMAS
2027-12-25,Saturday,1014,1217,XMAS
2027-12-26,Sunday,650,781,XMAS
